id,area,requirement,priority,notes
REQ-001,organizations,"As a user, I can create an organization.",high,"Organization requires a name."
REQ-002,organizations,"As a user, I can edit an existing organization.",high,"Includes name and description updates."
REQ-003,organizations,"As a user, I can delete an organization that has no assigned employees.",high,"Deletion is blocked when employees are still assigned."
REQ-004,organizations,"As a user, I can view organization headcount in the organization list.",medium,"Headcount reflects assigned employees."
REQ-005,employees,"As a user, I can create an employee.",high,"Employee requires name, organization, capacity, and type constraints."
REQ-006,employees,"As a user, I can edit an existing employee.",high,"Includes name, role, type, organization, manager, location, and capacity."
REQ-007,employees,"As a user, I can delete an employee.",high,"Related assignments are deleted and direct reports are unassigned."
REQ-008,employees,"As a user, I can assign an employee to an organization.",high,"Employee must belong to an organization."
REQ-009,employees,"As a user, I can classify an employee as an IC or a leader.",high,"Allowed values are IC and L."
REQ-010,employees,"As a user, I can assign a manager only from employees marked as leaders.",high,"Manager dropdown and backend validation must agree."
REQ-011,employees,"As a user, I can leave a leader without a manager.",high,"Supports top-of-hierarchy leaders such as CEOs."
REQ-012,employees,"As a user, I must assign a manager when an employee is an IC.",high,"ICs cannot be saved without a manager."
REQ-013,employees,"As a user, I cannot assign an employee to manage themselves.",high,"Backend validation should reject self-reference."
REQ-014,employees,"As a user, I cannot create a circular manager hierarchy.",high,"Manager chains cannot loop."
REQ-015,employees,"As a user, I cannot change a leader with direct reports into an IC until their reports are reassigned or removed.",high,"Prevents invalid hierarchy states."
REQ-016,employees,"As a user, I can view employee type, organization, manager, location, and capacity in the employee table.",medium,"List view should reflect saved data."
REQ-017,employees,"As a user, I can filter the employee table by organization.",medium,"Filter affects visible rows only."
REQ-018,projects,"As a user, I can create a project.",high,"Project requires a name."
REQ-019,projects,"As a user, I can edit an existing project.",high,"Includes name, description, and dates."
REQ-020,projects,"As a user, I can delete a project.",high,"Related assignments are deleted."
REQ-021,projects,"As a user, I cannot save a project whose end date is before its start date.",high,"Backend validation enforces date order."
REQ-022,assignments,"As a user, I can create an assignment between an employee and a project.",high,"Requires employee, project, dates, and allocation."
REQ-023,assignments,"As a user, I can edit an existing assignment.",high,"Includes dates, allocation, and notes."
REQ-024,assignments,"As a user, I can delete an assignment.",high,"Assignment should be removed from all views."
REQ-025,assignments,"As a user, I cannot save an assignment whose end date is before its start date.",high,"Backend validation enforces date order."
REQ-026,assignments,"As a user, I cannot save an assignment with allocation less than or equal to 0 or greater than 100%.",high,"Backend stores allocation as 0 to 1."
REQ-027,assignments,"As a user, I can view assignments in a table with employee, project, dates, allocation, and notes.",medium,"Main matrix page assignment table."
REQ-028,assignments,"As a user, I can export assignments to CSV.",medium,"CSV includes employee, project, dates, and allocation."
REQ-029,schedules,"As a user, I can view an employee schedule timeline.",medium,"Accessible from the quick timelines panel."
REQ-030,schedules,"As a user, I can view a project staffing timeline.",medium,"Accessible from the quick timelines panel."
REQ-031,visualization,"As a user, I can view an assignment relationship graph connecting employees to projects.",medium,"Graph appears on the main matrix page."
REQ-032,visualization,"As a user, I can view allocation watchdog charts over a configurable date range.",medium,"Supports presets and custom ranges."
REQ-033,visualization,"As a user, I can identify overallocated employees when utilization exceeds 100%.",high,"Overallocations are visually flagged."
REQ-034,canvas,"As a user, I can open a canvas view of projects and assignments.",medium,"Canvas is a separate page."
REQ-035,canvas,"As a user, I can view employees grouped under their manager in the canvas resource list.",high,"Hierarchy is visible in the sidebar."
REQ-036,canvas,"As a user, I can expand or collapse a manager to show or hide direct reports in the canvas resource list.",high,"Expansion state is interactive."
REQ-037,canvas,"As a user, I can drag an employee from the canvas resource list onto a project to start creating an assignment.",high,"Drop opens assignment creation flow."
REQ-038,canvas,"As a user, I can filter canvas resources by organization.",medium,"Filter affects resource sidebar only."
REQ-039,canvas,"As a user, I can edit employee details from the canvas.",medium,"Canvas modal supports employee edits."
REQ-040,canvas,"As a user, I can edit project details from the canvas.",medium,"Canvas modal supports project edits."
REQ-041,canvas,"As a user, I can remove assignments from the canvas.",medium,"Removal is available through canvas actions."
REQ-042,canvas,"As a user, I can inspect project staffing details on the canvas.",medium,"Project detail view shows weekly FTE."
REQ-043,data-integrity,"As a user, I can rely on employee, project, assignment, and organization pages to stay in sync after changes.",high,"Create, update, and delete actions should refresh dependent views."
REQ-044,data-integrity,"As a user, I can rely on employee hierarchy data to persist across page reloads.",high,"Manager relationships and employee type should round-trip through the API."
